PRODUCT_NUM                     ,DEPARTMENT                ,COMMODITY                 ,BRAND_TY,NATURAL_ORGANIC_FLAG
8,NON-FOOD                  ,PET                       ,PRIVATE ,N
9,NON-FOOD                  ,PET                       ,PRIVATE ,N
10,NON-FOOD                  ,PET                       ,PRIVATE ,N
