Hshd_num,last_purchase_date,first_purchase_date,purchase_count,total_spend,total_units,avg_basket_value,unique_products,store_region,tenure,tenure_safe,purchase_frequency,recency,spend_per_day,spend_per_visit,product_diversity,dept_food,dept_non-food,dept_pharma,Loyalty_flag,Age_range,Marital_status,Income_range,Homeowner_desc,Hshd_composition,Hshd_size,Children,future_spend,annual_clv,blended_monthly_spend,clv_12_month,predicted_clv,clv_tier
3940,2020-05-17,2018-08-18,181,14569.2,4315,80.49281767955802,1630,EAST,638,638,8.510971786833856,0,22.83573667711599,80.49281767955802,0.37775202780996525,10224.960000000001,3995.34,348.9,Y,,,,,,,,2214.2,8856.8,685.0721003134797,8220.865203761758,8264.60575002261,Platinum
3964,2020-05-15,2018-08-22,144,10163.64,4219,70.58083333333335,1702,WEST,632,632,6.8354430379746836,2,16.08170886075949,70.58083333333333,0.4034131310737141,8958.49,949.91,255.24,Y,45-54,Married,100-150K,Homeowner,2 Adults and Kids,3.0,1.0,1129.52,4518.08,482.45126582278476,5789.415189873417,5769.021051260766,Gold
3969,2020-05-13,2018-08-20,134,5735.78,1915,42.80432835820896,849,SOUTH,632,632,6.360759493670886,4,9.075601265822785,42.804328358208956,0.4433420365535248,5428.6,297.96999999999997,9.21,Y,45-54,Married,50-74K,Homeowner,2 Adults,2.0,,842.49,3369.96,272.2680379746835,3267.2164556962025,3254.165518274448,Silver
3977,2020-05-14,2018-08-20,146,5593.3,2234,38.310273972602744,522,EAST,633,633,6.919431279620853,3,8.836176935229068,38.310273972602744,0.23366159355416294,4453.71,1100.34,39.25,Y,,,,,,,,1087.52,4350.08,265.085308056872,3181.023696682464,3209.9526418695664,Silver
3988,2020-05-16,2018-08-27,56,3160.13,633,56.43089285714286,253,CENTRAL,628,628,2.6751592356687897,1,5.032054140127388,56.43089285714286,0.39968404423380727,3045.27,86.88,27.98,N,65-74,Single,UNDER 35K,Homeowner,1 Adult,1.0,,450.14,1800.56,150.96162420382166,1811.5394904458599,1819.6483522430335,Bronze
3993,2020-05-06,2018-08-24,102,7399.03,2695,72.53950980392156,1009,WEST,621,621,4.9275362318840585,11,11.914702093397745,72.53950980392156,0.3743970315398887,6613.13,785.9,0.0,Y,45-54,Married,75-99K,Homeowner,2 Adults and Kids,3.0,1.0,1081.36,4325.44,357.4410628019324,4289.292753623189,4285.302928685365,Gold
4005,2020-05-14,2018-08-17,338,8881.14,2842,26.27556213017752,1124,WEST,636,636,15.943396226415095,3,13.964056603773583,26.275562130177512,0.39549612948627727,4628.81,3846.4500000000003,405.88,Y,45-54,Single,50-74K,Homeowner,Single Female,1.0,,737.46,2949.84,418.9216981132075,5027.06037735849,5108.153783527054,Gold
4011,2020-05-16,2018-08-18,221,11142.7,3888,50.41945701357466,1337,SOUTH,637,637,10.408163265306122,1,17.492464678178965,50.419457013574664,0.3438786008230453,8483.16,2402.31,257.23,Y,,Single,75-99K,,Single Female,1.0,,1373.23,5492.92,524.7739403453689,6297.287284144428,6309.563903921619,Platinum
4017,2020-05-15,2018-08-19,308,4461.68,1639,14.485974025974027,455,WEST,635,635,14.551181102362204,2,7.0262677165354335,14.485974025974027,0.27760829774252593,3163.04,1072.3700000000001,226.27,N,,,,,,,,626.73,2506.92,210.78803149606298,2529.4563779527557,2475.5185703875172,Silver
4037,2020-05-05,2018-08-21,193,11191.91,2947,57.98917098445596,1068,EAST,623,623,9.293739967897272,12,17.96454253611557,57.98917098445596,0.36240244316253817,7891.7,3000.79,299.42,Y,65-74,Married,UNDER 35K,Homeowner,2 Adults,2.0,,830.84,3323.36,538.9362760834671,6467.235313001605,6373.894052262954,Platinum
4057,2020-05-09,2018-08-20,157,7383.36,2894,47.02777070063694,1012,EAST,628,628,7.5,8,11.756942675159236,47.02777070063694,0.3496890117484451,6315.22,804.41,263.73,Y,25-34,Single,75-99K,Homeowner,1 Adult and Kids,2.0,1.0,702.25,2809.0,352.70828025477704,4232.499363057324,4237.157923572567,Gold
4061,2019-08-13,2019-08-13,1,22.720000000000002,8,22.720000000000002,8,WEST,0,1,30.0,278,22.720000000000002,22.720000000000002,1.0,19.73,0.0,2.99,Y,45-54,Single,75-99K,Renter,Single Male,1.0,,0.0,0.0,1.867397260273973,22.408767123287674,71.88068513042543,Bronze
4062,2020-05-17,2019-07-17,3,74.92,17,24.973333333333333,13,SOUTH,305,305,0.29508196721311475,0,0.24563934426229508,24.973333333333333,0.7647058823529411,64.92,10.0,0.0,Y,55-64,Married,75-99K,Homeowner,2 Adults and Kids,4.0,2.0,81.74,326.96,10.636712328767125,127.6405479452055,111.59581126326795,Bronze
4065,2020-05-14,2018-08-18,188,6825.3,2727,36.30478723404255,692,EAST,635,635,8.881889763779528,3,10.748503937007873,36.30478723404256,0.25375870920425375,6039.81,466.46,319.03,Y,25-34,Single,35-49K,Homeowner,Single Male,1.0,,748.73,2994.92,322.4551181102362,3869.461417322834,3921.320656562032,Silver
4078,2020-05-12,2018-08-17,683,21656.28,6813,31.70758418740849,2820,EAST,634,634,32.31861198738171,5,34.15817034700315,31.70758418740849,0.4139145750770586,17932.22,3168.98,555.08,Y,19-24,Single,150K+,Homeowner,1 Adult and Kids,2.0,1.0,2415.8,9663.2,1024.7451104100946,12296.941324921136,12841.122734836805,Platinum
