product1_num,product1_dept,product1_comm,product2_num,product2_dept,product2_comm,co_occurrence_count
72602,FOOD,BAKERY,88731,FOOD,GROCERY STAPLE,117
72602,FOOD,BAKERY,88715,FOOD,GROCERY STAPLE,115
8492,FOOD,PRODUCE,9178,FOOD,PRODUCE,201
8492,FOOD,PRODUCE,8487,FOOD,PRODUCE,184
8492,FOOD,PRODUCE,7592,FOOD,PRODUCE,150
8492,FOOD,PRODUCE,8436,FOOD,PRODUCE,143
8492,FOOD,PRODUCE,88715,FOOD,GROCERY STAPLE,125
9178,FOOD,PRODUCE,8492,FOOD,PRODUCE,201
9087,FOOD,PRODUCE,8512,FOOD,PRODUCE,194
9087,FOOD,PRODUCE,9276,FOOD,GROCERY STAPLE,151
9087,FOOD,PRODUCE,8473,FOOD,PRODUCE,103
9087,FOOD,PRODUCE,5785105,FOOD,GROCERY STAPLE,100
9087,FOOD,PRODUCE,8436,FOOD,PRODUCE,98
101655,FOOD,PRODUCE,8487,FOOD,PRODUCE,193
101655,FOOD,PRODUCE,8436,FOOD,PRODUCE,113
6439955,FOOD,GROCERY STAPLE,6441562,FOOD,GROCERY STAPLE,189
6441562,FOOD,GROCERY STAPLE,6439955,FOOD,GROCERY STAPLE,189
6441562,FOOD,GROCERY STAPLE,84775,FOOD,DAIRY,131
761330,FOOD,BEVERAGE - NON WATER,761332,FOOD,BEVERAGE - NON WATER,187
761332,FOOD,BEVERAGE - NON WATER,761330,FOOD,BEVERAGE - NON WATER,187
9210,FOOD,PRODUCE,8436,FOOD,PRODUCE,185
9210,FOOD,PRODUCE,3781030,FOOD,PRODUCE,151
9210,FOOD,PRODUCE,8497,FOOD,PRODUCE,129
9210,FOOD,PRODUCE,88715,FOOD,GROCERY STAPLE,119
9210,FOOD,PRODUCE,7592,FOOD,PRODUCE,104
8588,FOOD,PRODUCE,8436,FOOD,PRODUCE,185
8588,FOOD,PRODUCE,88715,FOOD,GROCERY STAPLE,155
8588,FOOD,PRODUCE,8490,FOOD,PRODUCE,129
8588,FOOD,PRODUCE,8492,FOOD,PRODUCE,112
2617245,FOOD,PRODUCE,1023718,FOOD,PRODUCE,185
2617245,FOOD,PRODUCE,8436,FOOD,PRODUCE,169
2617245,FOOD,PRODUCE,84775,FOOD,DAIRY,149
761845,FOOD,BEVERAGE - NON WATER,761850,FOOD,BEVERAGE - NON WATER,182
761845,FOOD,BEVERAGE - NON WATER,6559033,NON-FOOD,TOBACCO PRODUCTS,180
761845,FOOD,BEVERAGE - NON WATER,4149080,NON-FOOD,TOBACCO PRODUCTS,168
761845,FOOD,BEVERAGE - NON WATER,1091190,FOOD,BEVERAGE - NON WATER,109
761850,FOOD,BEVERAGE - NON WATER,761845,FOOD,BEVERAGE - NON WATER,182
93161,FOOD,BEVERAGE - WATER,2267712,FOOD,PRODUCE,178
93161,FOOD,BEVERAGE - WATER,97584,FOOD,GROCERY STAPLE,127
96157,FOOD,GROCERY STAPLE,88731,FOOD,GROCERY STAPLE,175
96157,FOOD,GROCERY STAPLE,8436,FOOD,PRODUCE,149
96157,FOOD,GROCERY STAPLE,84775,FOOD,DAIRY,134
96157,FOOD,GROCERY STAPLE,88715,FOOD,GROCERY STAPLE,121
4388358,FOOD,PRODUCE,2267712,FOOD,PRODUCE,175
4388358,FOOD,PRODUCE,8512,FOOD,PRODUCE,119
101610,FOOD,PRODUCE,8436,FOOD,PRODUCE,168
101610,FOOD,PRODUCE,8487,FOOD,PRODUCE,118
101610,FOOD,PRODUCE,7592,FOOD,PRODUCE,114
101610,FOOD,PRODUCE,88715,FOOD,GROCERY STAPLE,112
8497,FOOD,PRODUCE,8436,FOOD,PRODUCE,166
8497,FOOD,PRODUCE,9210,FOOD,PRODUCE,129
8497,FOOD,PRODUCE,7592,FOOD,PRODUCE,98
9276,FOOD,GROCERY STAPLE,8512,FOOD,PRODUCE,163
9276,FOOD,GROCERY STAPLE,9087,FOOD,PRODUCE,151
9276,FOOD,GROCERY STAPLE,8473,FOOD,PRODUCE,124
9276,FOOD,GROCERY STAPLE,8436,FOOD,PRODUCE,104
9276,FOOD,GROCERY STAPLE,8493,FOOD,PRODUCE,101
8471,FOOD,PRODUCE,8436,FOOD,PRODUCE,162
101278,FOOD,GROCERY STAPLE,8436,FOOD,PRODUCE,162
101278,FOOD,GROCERY STAPLE,8487,FOOD,PRODUCE,131
101278,FOOD,GROCERY STAPLE,84775,FOOD,DAIRY,126
8493,FOOD,PRODUCE,8436,FOOD,PRODUCE,162
8493,FOOD,PRODUCE,8487,FOOD,PRODUCE,105
